PCB,Part,Value,Size,Cost (Feb-16),Cost/Pcs,Link
Fuse,Ceramic Slow Blow Fuse,"250V, 0.2A (50W)",Axial,US $0.99 ,"0,09",http://www.ebay.com/itm/111433875797?_trksid=p2057872.m2749.l2649&amp;ssPageName=STRK%3AMEBIDX%3AIT&amp;rmvSB=true
Thermal Fuse,Thermal Cutoffs FUSE,73degr C,Axial,US $4.99,"0,5",http://www.ebay.com/itm/221560426284?_trksid=p2057872.m2749.l2649&amp;ssPageName=STRK%3AMEBIDX%3AIT&amp;rmvSB=true
F3,Glass Tube Fuse Axial Leads 3.6 x 10mm 2A,"2A, 250V",Axial,US $1.99,"0,2",http://www.ebay.com/itm/NEW-10pcs-Glass-Tube-Fuse-Axial-Leads-3-6-x-10mm-2A-2Amps-Fast-Blow-250V-/321408409235?hash=item4ad56f1e93:g:2LIAAOxyi-ZTbKcW
g3mc-202pl,Omron SSR Relay (Optional),g3mc-202pl,Axial,"US $5,95","5,95",http://www.ebay.com/itm/1PCS-G3MC-202PL-VD-2-Encapsulation-ZIP-Solid-StateRelay-/272254081382?hash=item3f639b9966:g:cYcAAOSwzchXRbzd
T1,2n2222 npn transistor (not tested!),NPN,TO-92,US $1.31,"0,013",
Varistor,Zinc Oxide Varistor ,250VAC 60J 2500A 10mm,Axial,US $1.89 ,"0,19",http://www.ebay.com/itm/260848704608?_trksid=p2057872.m2749.l2649&amp;ssPageName=STRK%3AMEBIDX%3AIT&amp;rmvSB=true
AC,2 Pin Screw Terminal Connector ,5.08mm,Axial,US $1.23,0.06,http://www.ebay.com/itm/181759858196?_trksid=p2057872.m2749.l2649&amp;ssPageName=STRK%3AMEBIDX%3AIT
ISCP,Pinheads 2x3,5.08mm,Axial,,,
MYSX 1.3,Pinheads 2x7,5.08mm,Axial,,,
-,Tactile Push Button Switch,3*6*2.5mm,SMD,US $1.78,"0,0178",http://www.ebay.com/itm/191674536296?_trksid=p2050601.m570.l5999&amp;_trkparms=gh1g%3DI191674536296.N36.S1.R1.TR6
-,Crystal Oscillator,16mHz,SMD,US $1.38,"0,069",http://www.ebay.com/itm/20Pcs-New-16-000MHZ-16MHZ-16M-HZ-HC-49S-Crystal-Oscillator-/381374783753?hash=item58cbb56109:g:7KsAAOSwY45UPSU7
-,HLK-PM01,220V to 5V,SMD,US $3.99,"3,99",http://www.ebay.com/sch/sis.html?_nkw=HLK-PM01+AC-DC+220V+to+5V+Step-Down+Power+Supply+Module+Household+Switch+Q15274&amp;_id=351418782712&amp;&amp;_trksid=p2057872.m2749.l2658&amp;rmvSB=true
-,NRF24L01+ SMD,,SMD,US $7.73,"1,546",http://www.ebay.com/itm/5PCS-New-Mini-NRF24L01-SMD-1-27MM-RF-wireless-transceiver-module-/221917395219?hash=item33ab4eb913:g:cn4AAOSw5ZBWJFec
Volt_Reg,662K 5V-3.3V Step Down Regulator,,SOT-23 ,US $0.99,"0,0495",http://rover.ebay.com/rover/1/711-53200-19255-0/1?icep_ff3=2&amp;pub=5575069610&amp;toolid=10001&amp;campid=5337433187&amp;customid=&amp;icep_item=261943631428&amp;ipn=psmain&amp;icep_vectorid=229466&amp;kwid=902099&amp;mtid=824&amp;kw=lg
ATMEGA328P-AU,ATMEGA328P,,SMD,US $12.16,"1,216",http://www.ebay.com/itm/10PCS-NEW-ATMEGA328P-AU-MEGA328P-AU-ATMEGA328P-TQFP-32-SMD-IC-Chip-/181165967243?hash=item2a2e55478b:g:i~0AAOxyOa9R0wQ~
C1 (Volt reg),Capacitor SMD Ceramic,"0,1uF",0805,US $4.10,"0,041",http://www.ebay.com/itm/100PCS-0805-0-1uF-100nF-50V-X7R-SMD-Ceramic-Capacitor-104-/220983886222?hash=item3373aa818e:g:-YQAAOxyOeBR0FHx
C2 (volt reg),Capacitor SMD Ceramic,10uF,0805,US $1.47,"0,0147",http://www.ebay.com/itm/100Pcs-chip-Value-Capacitor-0805-106M-10UF-16V-20-SMD-/400985448770?hash=item5d5c986142:g:mBkAAOxywh1TAdDn
C3 (Radio),Capacitor SMD Ceramic,"4,7uF",0805,US $2.12,"0,0212",http://www.ebay.com/itm/100pcs-0805-50V-SMD-50v-4-7uF-RoHS-Capacitors-NEW-/191683671514?hash=item2ca13cb5da:g:nsEAAOSwMmBV66mC
C4 (Oscillator),Capacitor SMD Ceramic,22pF,0805,US $2.14,"0,0214",http://www.ebay.com/itm/100PCS-0805-22PF-220J-5-SMD-Ceramic-Capacitor-/291539751053?hash=item43e11f908d:g:anQAAOSwyQtVzhev
C5(Oscillator),Capacitor SMD Ceramic,22pF,0805,US $2.14,"0,0214",http://www.ebay.com/itm/100PCS-0805-22PF-220J-5-SMD-Ceramic-Capacitor-/291539751053?hash=item43e11f908d:g:anQAAOSwyQtVzhev
C6 (Gnd-Vcc),Capacitor SMD Ceramic,"0,1uF",0805,US $4.10,"0,041",http://www.ebay.com/itm/100PCS-0805-0-1uF-100nF-50V-X7R-SMD-Ceramic-Capacitor-104-/220983886222?hash=item3373aa818e:g:-YQAAOxyOeBR0FHx
C7  (Aref),Capacitor SMD Ceramic,"0,1uF",0805,US $4.10,"0,041",http://www.ebay.com/itm/100PCS-0805-0-1uF-100nF-50V-X7R-SMD-Ceramic-Capacitor-104-/220983886222?hash=item3373aa818e:g:-YQAAOxyOeBR0FHx
C8 (Reset),Capacitor SMD Ceramic,"0,1uF",0805,US $4.10,"0,041",http://www.ebay.com/itm/100PCS-0805-0-1uF-100nF-50V-X7R-SMD-Ceramic-Capacitor-104-/220983886222?hash=item3373aa818e:g:-YQAAOxyOeBR0FHx
R1 (Reset),Resistor SMD,10k ohm,0805,US $0.99,"0,0099",http://www.ebay.com/itm/100pcs-SMD-Chip-Surface-Mount-0805-Resistor-10K-10K-ohm-103-5-/121608835588?hash=item1c50739204:g:N20AAOSweW5VGNJY
R2 (Led SCK),Resistor SMD,330 ohm,0805,"US $0,99","0,0099",http://www.ebay.com/itm/100pcs-SMD-Chip-Surface-Mount-0805-Resistor-330-330-ohm-331-5-/400894780900?hash=item5d5730e5e4:g:EfgAAOSwrklVGNTr
R3 (Led ON),Resistor SMD,330 ohm,0805,"US $0,99","0,0099",http://www.ebay.com/itm/100pcs-SMD-Chip-Surface-Mount-0805-Resistor-330-330-ohm-331-5-/400894780900?hash=item5d5730e5e4:g:EfgAAOSwrklVGNTr
R4 (Relay),Resistor SMD,1k ohm (not sure),0805,US $0.99,"0,0099",http://www.ebay.com/itm/100pcs-SMD-Chip-Surface-Mount-0805-Resistor-10K-10K-ohm-103-5-/121608835588?hash=item1c50739204:g:N20AAOSweW5VGNJY
LED1,LED SMD,Red,0805,US $0.99,"0,0198",http://www.ebay.com/itm/50-pcs-SMD-SMT-0805-Super-bright-Red-LED-lamp-Bulb-GOOD-QUALITY/301723638715?_trksid=p2047675.c100005.m1851&amp;_trkparms=aid%3D222007%26algo%3DSIC.MBE%26ao%3D1%26asc%3D35694%26meid%3D15d22088518745508861aaeaa9db765e%26pid%3D100005%26rk%3D4%26rkt%3D6%26sd%3D351493121540
LED2,LED SMD,Red,0805,US $0.99,"0,0198",http://www.ebay.com/itm/50-pcs-SMD-SMT-0805-Super-bright-Red-LED-lamp-Bulb-GOOD-QUALITY/301723638715?_trksid=p2047675.c100005.m1851&amp;_trkparms=aid%3D222007%26algo%3DSIC.MBE%26ao%3D1%26asc%3D35694%26meid%3D15d22088518745508861aaeaa9db765e%26pid%3D100005%26rk%3D4%26rkt%3D6%26sd%3D351493121540
TestPoints,,,,Total US $,"14,1532",
TPGnd,Gnd,,,,,
Tp1,5v,,,,,
Tp2,3.3v,,,,,
